CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION,STREET_LABEL,STREET_ANSWER,STREET_CORRECTNESS,IS_CATEGORY_CORRECT,CATEGORY_ANSWER,RESPONSE
2020-10-29,"3120 W WISCONSIN AV, 102, MILWAUKEE, WISCONSIN, 53208-3956",Interior of Building in Disrepair,,"KITCHEN- (APT# 202); Water leaks in Cabinets at top of archway on the outside of & large crack in Ceiling; BEDROOM- Water leaks with bubbles found in wall on Ceiling;  BEDBUGS- Seen in Bathroom & Bedroom; Baby- (8)months.  Agreed to Terms
 

3120 W Wisconsin Ave - (APT# 202)
Marica Johnson
4147882334",Wisconsin Ave,,0,False,,
2020-12-01,"2821 N 6TH ST, MILWAUKEE, WISCONSIN, 53212-2333",Interior of Building in Disrepair,,"Pipes with rust- (Lower); starting from sink in BATHROOM; pipes in BASEMENT-leaks water by washer/dryer area, causing gnats; under sink-mold sited; contract painter knocked open back door, done to access Apt-unsecured; since move-in Nov 1st; promised to repair; (3)kids. Agreed to Terms.",0,,0,False,,
2020-11-23,"1817 S 16TH ST, MILWAUKEE, WISCONSIN, 53204-3107",Interior of Building in Disrepair,,"SEWAGE Flooding/backup- (Unit A - back house); Pipes burst from under the ground (told by ABD Contractors);  Problem since Monday, November 16th; (6)kids.",0,,0,False,,
2022-12-12,"2800 W WRIGHT ST, MILWAUKEE, WI, 53210-3139",Interior of Building in Disrepair,,"#309.  Roaches, hole in closet door, dishwasher broken, floorboards sticking up. Common hallway - hole in 3rd floor wall, carpet has holes and is worn, elevator has dent in button panel.",0,,0,False,,
2020-10-07,"2027 W ATKINSON AV, 101, MILWAUKEE, WISCONSIN, 53209-6815",Interior of Building in Disrepair,2020-10-08,Retaliatory actions complaint: 2027 W Atkinson Ave: Apartment # 101.  5 day notice received.  Referred to Special Enforcement.,Atkinson Ave,,0,False,,
2020-06-22,"745 N 25TH ST, MILWAUKEE, WISCONSIN, 53233-0000",Interior of Building in Disrepair,2020-06-22,Unit #5.  Rooming House - 1st Fl Defective Bathroom Door.  2nd Fl Bathroom unusable - feces all over.,0,,0,False,,
2020-08-07,"3955 S 76TH ST, MILWAUKEE, WISCONSIN, 53220-0000",Interior of Building in Disrepair,,apt 1 says smells like sewage do to sewage back up in building. there was 3 inches of water in apartment. they are lifting and drying rug  not properly being cleaned or replaced water was all through apartment and complex. Horrible smell and mold  Woodland court apartments. Says him an his dog have gotten sick with smells. 3rd shift worker 12am-9:30am wants callback,0,,0,False,,
2020-11-30,"5124 W CONCORDIA AV, MILWAUKEE, WISCONSIN, 53216-3250",Interior of Building in Disrepair,,"Heat and hot water controlled by owner and not warm.  Locks doors inappropriately, not allowing access to 2nd exit.  Washer & Dryer that is supposed to be included are being disconnected.  Caller agreed to interior inspection expectations.",0,,0,False,,
2020-09-24,"5920 N 38TH ST, MILWAUKEE, WISCONSIN, 53209-4026",Interior of Building in Disrepair,2020-10-06,BASEMENT- Not in sanitary condition & is due to recent flooding (2nd time) & resulted in LOTS of flies & lots of Mold sited on Walls & on corners of Walls; since March 2020; Kids- (2).   Agreed to Terms,0,,0,False,,
2020-06-04,"2350 N GRANT BL, MILWAUKEE, WISCONSIN, 53210-2938",Interior of Building in Disrepair,2020-06-20,Moved in May 15th with appliances included. Still no working refrigerator or stove given to tenant. Refrigerator and stove with unit not operational. No response when contacting landlord. Contacted Community Advocates and referred to DNS.,0,,0,False,,
2020-10-12,"5173 N 31ST ST, MILWAUKEE, WISCONSIN, 53209-5409",Interior of Building in Disrepair,,ROACHES & MICE & BEDBUGS- Infestation; Since October 2nd; Management have not responded to resolve problems or to make repairs; Senior tenants. Agreed to Terms,0,,0,False,,
2020-06-23,"2774 N 56TH ST, MILWAUKEE, WISCONSIN, 53210-1523",Interior of Building in Disrepair,2020-06-25,"Interior of 1st floor in state of disrepair, Mold, open walls, animal feces and urine, water damage. 
Complaint filed for citizen, ( by MFD )  who lives in the upper and stopped at the firehouse believing they have no where to turn",0,,0,False,,
2020-10-13,"3342 W VERA AV, MILWAUKEE, WISCONSIN, 53209-2519",Interior of Building in Disrepair,2020-10-15,BATHROOM- Shower head is off & Sink- not hooked to the bottom; KITCHEN- pipes not hook-up under Sink; BEDROOM- No electric in downstairs; Outlets- LIVING & DINING ROOMs Walls- is hanging out & with wires; Light fixtures in Dining Room & Kitchen; Kids- (3).  Repairs left undone since October 2nd-(move in date).  Agreed to Terms,0,,0,False,,
2020-12-01,"6180 N 118TH ST, MILWAUKEE, WISCONSIN, 53225-1111",Missed Collection: Garbage,,Caller states G-carts were at the collection point and were not collected. Caller states whole street was missed. Thank you,0,,0,False,,
2020-06-10,"462 E WATERFORD AV, MILWAUKEE, WISCONSIN, 53207-4434",Missed Collection: Garbage,,"My garbage and my neighbors were not picked up today, our regular garbage pick up day.  Our garbage carts are located on Whitnall Ave just north of Waterford Ave on the west side of the road","Whitnall Ave, Waterford Ave",,0,False,,
2020-08-31,"1840 W KERNEY PL, MILWAUKEE, WISCONSIN, 53215-3030",Missed Collection: Garbage,,Garbage was not picked up on Friday Aug. 28th. We have no more room in our garbage cans for garbage. If u could please have it picked up as soon as possible.,0,,0,False,,
2020-06-09,"2918 N DOUSMAN ST, MILWAUKEE, WISCONSIN, 53212-2624",Missed Collection: Garbage,,"No collection on Monday, June 8th or the following day. Had garbage cans out since Sunday night.",0,,0,False,,
2020-06-12,"841 N BROADWAY, MILWAUKEE, WISCONSIN, 53202-3607",Missed Collection: Garbage,,Was not collected. Resident states that address is 2851 N 15th Lane but address is not being validated. Please call back to assist. Using Municipal building address just to send the request through. Please investigate.,15th Lane,,0,False,,
2020-06-10,"1982 N PROSPECT AV, 1A, MILWAUKEE, WISCONSIN, 53209-1408",Missed Collection: Garbage,,The public trash cart by the bus stop on the corner of Lafayette and Prospect is overflowing with garbage and is all over the street. Please pick up as soon as possible. Thank you!,0,,0,False,,
2020-08-20,"1661 W EDGERTON AV, M, MILWAUKEE, WISCONSIN, 53221-3554",Missed Collection: Garbage,,Please collect. States 3rd week in a row missed collection. States g sup came to location stating no reason as to why g cart should not be collected.,0,,0,False,,
2020-06-02,"3172 N 47TH ST, MILWAUKEE, WISCONSIN, 53216-3356",Missed Collection: Garbage,,Hardship - Caller states this is the 4th week in a row the G-carts were not collected. Thank you,0,,0,False,,
2020-09-18,"2908 W JUNEAU AV, MILWAUKEE, WISCONSIN, 53208-2923",Missed Collection: Garbage,,Garbage picked up on wrong day.  Collection date is 9/18 but was picked up on 9/17 and I didn't have my cart out.  2nd time this has happened in the last month.  check your records.  Need garbage picked up today to avoid garbage strewn in alley.,0,,0,False,,
2022-01-02,"172 S 84TH ST, 2, MILWAUKEE, WISCONSIN, 53214-1458",Missed Collection: Garbage,,Carts are lest at end of easement around the corner from address on Dana Court. Carts werenÍt emptied on pickup day 12/30/21. Some other carts on the street were emptied.,Dana Court,,0,False,,
2021-08-23,"3943 N 67TH ST, MILWAUKEE, WISCONSIN, 53216-2007",Missed Collection: Garbage,,the whole 39  block on n 67th garbage wasn't picked up last week needs pick up,67th Street,,0,False,,
2020-11-23,"821 N 28TH ST, MILWAUKEE, WISCONSIN, 53208-3514",Missed Collection: Garbage,,they missed our block for garbage collection on Nov. 20th. Our carts are still curbside and full.,0,,0,False,,
2022-10-14,"6245 S 26TH ST, MILWAUKEE, WI, 53221-4834",Missed Collection: Garbage,2022-10-14,IÍm writing this at 6:45 the garbage truck went down my street 20 minutes early at 6:40 before my garbage was out. I have until 7am per the rules and need someone to come bac and pick it up,0,,0,False,,
2021-05-20,"2173 S 32ND ST, MILWAUKEE, WISCONSIN, 53215-2437",Missed Collection: Garbage,2021-05-21,"2nd week in a row with no collection. caller stated he has video footage of the crews looking inside the cart and walking away. he received a notice stating that there should not be garden waste in the cart. there is no garden waste, the cart is not contaminated, it just has normal household garbage inside. please send crew to collect",0,,0,False,,
2020-06-23,"2910 N 55TH ST, MILWAUKEE, WISCONSIN, 53210-1561",Missed Collection: Garbage,,Caller complains that the dumpster never got picked up and debris is all over the street.,0,,0,False,,
2020-07-16,"4346 S QUINCY AV, MILWAUKEE, WISCONSIN, 53207-5219",Missed Collection: Garbage,,"collection truck went down our street at approx 9:15, picked up garbage at neighbors house and missed ours.  Thanks and have a nice day",0,,0,False,,
2022-04-01,"7144 N 38TH ST, MILWAUKEE, WISCONSIN, 53209-2322",Missed Collection: Garbage,,"ASL route, cart with handles facing away from street at curb on time. no additional items. please send crew to collect.",0,,0,False,,
2022-02-14,"4727 S 22ND ST, MILWAUKEE, WISCONSIN, 53221-2907",Missed Collection: Garbage,,Caller states cart was out on time last week Friday but cart was not serviced; Caller states she entered a missed collection request on Friday and work orders state cart was serviced but states it was not; Caller states cart is full and requesting pickup; 2nd request,0,,0,False,,
2022-01-19,"6152 N 116TH ST, MILWAUKEE, WISCONSIN, 53225-1103",Missed Collection: Garbage,,Garbage truck 32318 did not collect my garbage. They drove right passed it. City is doing work on our street and they moved my bin further in our driveway and the garbage man didn't care to try to collect our bin just because it was moved a foot. Please pick up garbage.,0,,0,False,,
2022-04-19,"4922 N 48TH ST, MILWAUKEE, WISCONSIN, 53218-4421",Missed Collection: Garbage,2022-04-19,"Two weeks with no garbage pick up or recycling collection, street is filled with garbage. Thanks for that",0,,0,False,,
2021-09-24,"2900 N NEWHALL ST, MILWAUKEE, WISCONSIN, 53211-3223",Missed Collection: Garbage,,Garbage was supposed to be picked up on Thursday they did not get either canƒ We are at corner house and the cans are located on the Locust Street side of the building,Locust Street,,0,False,,
2020-05-26,"7828 W VILLARD AV, MILWAUKEE, WISCONSIN, 53218-3513",Missed Collection: Garbage,,"Duplex, only 1  of 2 g-carts emptied again today, 3rd time this month. Not sure why. Please empty 2nd or call if issue. Says both at alley not contaminated.",0,,0,False,,
2020-06-25,"3155 N 24TH PL, MILWAUKEE, WISCONSIN, 53206-1210",Missed Collection: Garbage,,"Duplex, with only 1 g-cart. Says not emptied Tues, and extra also not taken. Lots of extra here as addr has been waiting on City to deliver 2nd g-cart for weeks.",0,,0,False,,
2021-10-07,"1823 N OAKLAND AV, MILWAUKEE, WISCONSIN, 53202-1725",Missed Collection: Garbage,,Garbage carts were not collected yesterday. Missed collection.  Carts collected on Cambridge Ave behind this address.,Cambridge Ave,,0,False,,
2020-05-21,"165 S 78TH ST, MILWAUKEE, WISCONSIN, 53214-1408",Missed Collection: Garbage,,All trash on my street was picked up except mine we took the can out last night and it was skipped I need a pick up before the next scheduled day because my can is full to the top.,0,,0,False,,
2020-09-14,"832 W CONCORDIA AV, MILWAUKEE, WISCONSIN, 53206-2822",Missed Collection: Garbage,,"Caller states G-carts were at the collection point and were not collected. Caller states they are the only property on this street that have curb side pick up, all others have alley. Thank you",0,,0,False,,
2020-05-29,"307 E MONTANA ST, MILWAUKEE, WISCONSIN, 53207-2017",Missed Collection: Garbage,,I have just moved to this rental property and saw the garbage collectors out yesterday but no one has picked up our garbage. Per the website garbage collection was Thursday May 28th. AS far as I can tell there should be no reason to not collect it. Can you please advise? Thank you kindly.,0,,0,False,,
2020-08-26,"931 E AUER AV, MILWAUKEE, WISCONSIN, 53212-2203",Missed Collection: Garbage,,"Collection was missed yesterday. Please collect as soon as possible. Cart is at curb on Weil Street side of house, near garage. Thank you!",Weil Street,,0,False,,
2020-10-07,"6447 N 104TH ST, MILWAUKEE, WISCONSIN, 53224-5102",Missed Collection: Garbage,,New tenant at 6447 n 104th street missed trash pick up today. There will be an additional few bags outside of container,104th Street,,0,False,,
2021-08-07,"1732 S 3RD ST, MILWAUKEE, WISCONSIN, 53204-4011",Missed Collection: Garbage,,"The garbage for the entire alley has not been collected for a week. Mines and the alley directly across the street from me as well. Please have garbage in both alleys collected right away. And there is actually no reason why the garbage was not collected seeing that the truck was in the area yesterday Friday August 6th, 2021!",0,,0,False,,
2020-06-04,"3293 N 48TH ST, MILWAUKEE, WISCONSIN, 53216-3343",Missed Collection: Garbage,,Was not collected. Collection actually takes place on Concordia between 48th and 49th. Resident states that both he and his neighbor were missed.,"48th Street, 49th Street",,0,False,,
2020-10-23,"1833 N OAKLAND AV, MILWAUKEE, WISCONSIN, 53202-1725",Missed Collection: Garbage,,"Stated her garbage was not collected and the entire block on Cambridge was not collected. Her collection point is in the back, on Cambridge Ave",Cambridge Ave,,0,False,,
2020-09-17,"9000 W FOND DU LAC AV, MILWAUKEE, WISCONSIN, 53225-2017",Pothole,,"multiple potholes at approx. address given, on W Kaul Ave side of address, also egress into HR Scrap metal along fence line on W Kaul Ave",Kaul Ave,,0,False,,
2021-05-19,"3526 W SILVER SPRING DR, MILWAUKEE, WISCONSIN, 53209-4036",Pothole,,Large pot hole reported. (Actual location is the 5600 block of N. 37th St just north of Silver Spring Dr.),"37th Street, Silver Spring Drive",,0,False,,
2020-08-10,2331 S 5TH ST,Pothole,,"S 5th St between W Lincoln Ave and S Chase Ave: multiple potholes and juts of concrete between the west and east lanes create a very rough surface. A huge hole near the south crosswalk over W Lincoln Ave is the worst, but holes and juts run all the way to S Chase Ave.",5th Street,,0,False,,
2020-11-25,"6641 N 53RD ST, MILWAUKEE, WISCONSIN, 53223-6047",Pothole,,the cement is lifting bad and this has been filled with tar before and now needs more work done.  also many pot holes on street that need to be filled,0,,0,False,,
2022-06-05,"3846 S 73RD ST, MILWAUKEE, WI, 53220-1718",Pothole,,"In addition to the potholes, there are multiple bumps in the road and some settlement areas that are present in the road. Mainly 75th Tripoli east to Crawford.",75th Street,,0,False,,
2020-08-21,"3519 S TAYLOR AV, MILWAUKEE, WISCONSIN, 53207-3438",Pothole,,Potholes in the streets and alleyway down the 3500 and 3600 block of South Taylor Av.,Taylor Ave,,0,False,,
2020-08-11,"8001 W DENVER AV, MILWAUKEE, WISCONSIN, 53223-4943",Pothole,,"Multiple potholes on 80th st, there is no addresses on 80th st but potholes are on 80th between Denver and Beechwood av.",80th Street,,0,False,,
2020-05-19,"7745 W DENVER AV, MILWAUKEE, WISCONSIN, 53223-4937",Pothole,,"Hello, there are huge pot holes on the street W Denver Ave as well as its intersecting street 78th. Anyway we can get these filled?","Denver Ave, 75th Street",,0,False,,
2020-08-24,"3434 N BOOTH ST, MILWAUKEE, WISCONSIN, 53212-1602",Pothole,,There are three large potholes in the 3400 block of Booth Street.  About 2 square feet in area and almost a foot deep.,Booth Street,,0,False,,
2020-07-15,"4060 N 41ST ST, MILWAUKEE, WISCONSIN, 53216-1606",Pothole,,Caller states potholes down the 4000 block of North 41st st from West Capitol to West Fiebrantz.,41st Street,,0,False,,
2020-05-22,"1301 E ALBION ST, MILWAUKEE, WISCONSIN, 53202-0000",Pothole,,"The entire block was potholes. 
Please look through both the 1300-1400 block of Albion Street. 
Thank you.",Albion Street,,0,False,,
2020-12-01,"1432 E MORGAN AV, MILWAUKEE, WISCONSIN, 53207-3552",Pothole,,"Caller states there is a pothole at the manhole on the Hanson Ave side of address, near the alley entrance.",Hanson Ave,,0,False,,
2020-07-08,"119 Monroe St, Hoboken, NJ, 07030",Pothole,,"Pothole Patch Requests| Mr. Kirk Stated that there are large pot holes on 30th and Fond Du Lac Ave. I have shared with Alderman Stamper and let him know I would create the ASR since it did come into our office.

Thank you,
Maribel","30th Street, Fond Du Lac Ave",,0,False,,
2020-05-19,"1525 N 24TH ST, MILWAUKEE, WISCONSIN, 53205-1805",Pothole,,"caller states request was closed out but the pothole was not fixed. the pothole is at the entrance on the street and into the  parking lot driveway to apartment building. previous record number 4420641,4420643,4426649, and 4434237.",0,,0,False,,
2022-11-03,"3145 S DELAWARE AV, MILWAUKEE, WI, 53207-3018",Pothole,,Hole in middle of street. Trench poorly filled. Will be a big problem for plows when snow hits. Thanks,0,,0,False,,
2020-06-08,"1620 N HAWLEY RD, MILWAUKEE, WISCONSIN, 53208-2115",Pothole,,"Many potholes in the alley system between N 54th St and N Hawley Rd, W Washington Blvd and W Galena St. There are two E-W alleys connected by one N-S alley.","54th Street, Hawley Road, Washington Blvd, Galena Street",,0,False,,
2021-05-04,"1541 W LOCUST ST, MILWAUKEE, WISCONSIN, 53206-2152",Pothole,2021-05-04,large pothole causing trouble with west bound traffic located on the west bound lane of w locust st between  n15th st and n 16th st,"15th Street, 16th Street",,0,False,,
2020-06-02,"1411 W ABBOTT AV, MILWAUKEE, WISCONSIN, 53221-3578",Pothole,,Large pothole on driveway approach across the street from 1411. This will be the driveway approach of the condominiums.,0,,0,False,,
2021-06-11,"6500 W SILVER SPRING DR, MILWAUKEE, WISCONSIN, 53218-3053",Pothole,,per joseph parnell 414 6171404 alley has multiply holes also 65th from silver spring to thurston,65th Street,,0,False,,
2020-05-22,"5101 N 37TH ST, MILWAUKEE, WISCONSIN, 53209-5333",Pothole,,Caller states several potholes on Lancaster from 37th to 40th st that needs to be filled. Thank you,"37th Street, 40th Street",,0,False,,
2020-06-25,"3264 N SUMMIT AV, MILWAUKEE, WISCONSIN, 53211-3151",Pothole,,"Large pothole in front of our driveway, and lots of potholes on N. Summit Avenue between Hartford and Hampshire Ave.  Please address these potholes.  thank you.",Summit Ave,,0,False,,
2020-09-21,"2532 S 69TH ST, MILWAUKEE, WISCONSIN, 53219-2501",Pothole,,There are numerous pot holes in 69th Street between Arther and Harrison Street that need to be filled.,69th Street,,0,False,,
2020-06-26,"5306 N 36TH ST, MILWAUKEE, WISCONSIN, 53209-4708",Pothole,,"On Rohr Av not 36th, many potholes 3500 & 3600 blks of W Rohr Av, getting worse.",Rohr Ave,,0,False,,
2020-06-08,"3236 N 80TH ST, MILWAUKEE, WISCONSIN, 53222-3804",Pothole,,"80th street between Auer & Lisbon ave have huge holes that need to be filled
Thank you for all your hard work",80th Street,,0,False,,
2020-10-02,"3700 S 61ST ST, 1, MILWAUKEE, WISCONSIN, 53220-1910",Pothole,,"Rec #4467854 - Large pothole on the street near parking lot approach on the side of 61st st. Caller states its been over 2 months, and it still has not been filled. Thank you",61st Street,,0,False,,
2020-09-01,"4374 N 62ND ST, MILWAUKEE, WISCONSIN, 53216-1219",Pothole,,Large hole in 62nd ST street at intersection of 62nd & Congress. When turning south onto 62nd st.,"62nd Street, Congress Street",,0,False,,
2020-10-23,704 E MASON ST,Pothole,,Please fill pot hole located on the east side of the Northwestern Mutual parking structure (720 E. Mason street). Pot hole is at the exit gate which is on Cass Street.,mason Street,,0,False,,
